OID_,WellName,Zm,Xm,Ym
225,15-12,1019.451,327137.822,4406034.618
226,15-12,1018.451,327137.82,4406034.618
227,15-12,1017.451,327137.818,4406034.617
228,15-12,1016.451,327137.816,4406034.617
229,15-12,1015.451,327137.815,4406034.618
230,15-12,1014.451,327137.813,4406034.618
231,15-12,1013.451,327137.812,4406034.619
232,15-12,1012.451,327137.811,4406034.62
233,15-12,1011.451,327137.81,4406034.621
234,15-12,1010.451,327137.809,4406034.622
235,15-12,1009.451,327137.808,4406034.624
236,15-12,1008.451,327137.807,4406034.626
237,15-12,1007.451,327137.807,4406034.628
238,15-12,1006.451,327137.806,4406034.63
239,15-12,1005.451,327137.806,4406034.632
240,15-12,1004.451,327137.806,4406034.635
241,15-12,1003.451,327137.806,4406034.638
242,15-12,1002.451,327137.806,4406034.641
243,15-12,1001.451,327137.806,4406034.644
244,15-12,1000.451,327137.806,4406034.648
245,15-12,999.451,327137.806,4406034.651
246,15-12,998.451,327137.806,4406034.654
247,15-12,997.451,327137.806,4406034.658
248,15-12,996.451,327137.806,4406034.661
249,15-12,995.451,327137.806,4406034.665
250,15-12,994.451,327137.806,4406034.668
251,15-12,993.451,327137.806,4406034.671
252,15-12,992.451,327137.805,4406034.674
253,15-12,991.451,327137.805,4406034.678
254,15-12,990.451,327137.805,4406034.681
255,15-12,989.451,327137.804,4406034.684
256,15-12,988.451,327137.803,4406034.687
257,15-12,987.451,327137.802,4406034.69
258,15-12,986.451,327137.801,4406034.693
259,15-12,985.451,327137.8,4406034.696
260,15-12,984.451,327137.799,4406034.699
261,15-12,983.451,327137.798,4406034.702
262,15-12,982.451,327137.796,4406034.705
263,15-12,981.451,327137.795,4406034.708
264,15-12,980.451,327137.794,4406034.71
265,15-12,979.451,327137.792,4406034.713
266,15-12,978.451,327137.79,4406034.716
267,15-12,977.451,327137.789,4406034.718
268,15-12,976.451,327137.787,4406034.721
269,15-12,975.451,327137.785,4406034.723
270,15-12,974.451,327137.783,4406034.726
271,15-12,973.451,327137.781,4406034.728
272,15-12,972.451,327137.779,4406034.731
273,15-12,971.451,327137.777,4406034.733
274,15-12,970.451,327137.774,4406034.736
275,15-12,969.451,327137.772,4406034.738
276,15-12,968.451,327137.77,4406034.74
277,15-12,967.451,327137.768,4406034.742
278,15-12,966.451,327137.766,4406034.744
279,15-12,965.451,327137.765,4406034.746
280,15-12,964.451,327137.763,4406034.748
281,15-12,963.451,327137.761,4406034.75
282,15-12,962.451,327137.76,4406034.751
283,15-12,961.451,327137.758,4406034.752
284,15-12,960.451,327137.757,4406034.754
285,15-12,959.451,327137.756,4406034.755
286,15-12,958.451,327137.755,4406034.756
287,15-12,957.451,327137.754,4406034.758
288,15-12,956.451,327137.753,4406034.759
289,15-12,955.451,327137.753,4406034.76
290,15-12,954.451,327137.752,4406034.761
291,15-12,953.451,327137.752,4406034.762
292,15-12,952.451,327137.751,4406034.762
293,15-12,951.451,327137.751,4406034.763
294,15-12,950.451,327137.751,4406034.764
295,15-12,949.451,327137.751,4406034.764
296,15-12,948.451,327137.751,4406034.764
297,15-12,947.451,327137.751,4406034.764
298,15-12,946.451,327137.752,4406034.764
299,15-12,945.451,327137.752,4406034.764
300,15-12,944.451,327137.753,4406034.764
301,15-12,943.451,327137.754,4406034.764
302,15-12,942.451,327137.755,4406034.764
303,15-12,941.451,327137.756,4406034.764
304,15-12,940.451,327137.757,4406034.763
305,15-12,939.451,327137.758,4406034.763
306,15-12,938.451,327137.759,4406034.762
307,15-12,937.451,327137.761,4406034.762
308,15-12,936.451,327137.763,4406034.762
309,15-12,935.451,327137.764,4406034.761
310,15-12,934.451,327137.766,4406034.761
311,15-12,933.451,327137.768,4406034.761
